grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,forecast_total_4w,p_occurrence_week,routine_weekly,routine_total_4w,bulk_share,w1_2026-06-15,w2_2026-06-22,w3_2026-06-29,w4_2026-07-06,customer,channel
sku_channel,sku_channel::1008815|TAIUN,1008815,교체형,lumpy,979491.0,sba,{'alpha': 0.3},0.6098451169044072,1.6481549826721673,1.7482277301002325,10,6,,30739.885343741353,0.06439808319105383,0.0,0.0,1.0,7684.971335935338,7684.971335935338,7684.971335935338,7684.971335935338,,TAIUN
sku_channel,sku_channel::1009440|TAIUN,1009440,교체형,lumpy,887419.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.6602499907433927,5.575876272455177,0.7671944039823106,10,6,,137216.14563378628,0.6234563258442136,0.0,0.0,1.0,34304.03640844657,34304.03640844657,34304.03640844657,34304.03640844657,,TAIUN
sku_channel,sku_channel::2016637|TAIUN,2016637,교체형,lumpy,883177.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.11640709233621953,0.485942206427251,0.33374069115908117,10,6,,55073.83846675527,0.15809886338781776,0.0,0.0,1.0,13768.459616688817,13768.459616688817,13768.459616688817,13768.459616688817,,TAIUN
sku_channel,sku_channel::1009131|TAIUN,1009131,교체형,lumpy,882266.0,sba,{'alpha': 0.3},2.4038027745734856,7.08728208703597,0.9692228769666348,10,6,,151701.42569425388,0.5902780706973656,0.0,0.0,1.0,37925.35642356347,37925.35642356347,37925.35642356347,37925.35642356347,,TAIUN
sku_channel,sku_channel::1008815|TAIUN_AIR,1008815,교체형,lumpy,847480.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.331168559024639,1.061882503241845,1.3030075274832222,10,6,,91040.10346888658,0.3053273567417864,0.0,0.0,1.0,22760.025867221644,22760.025867221644,22760.025867221644,22760.025867221644,,TAIUN_AIR
sku_channel,sku_channel::2016871|TAIUN,2016871,교체형,lumpy,720375.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0009848155887160067,0.006451620198781316,2.0,10,6,,32.57538858223632,2.6584559918655598e-05,0.0,0.0,1.0,8.14384714555908,8.14384714555908,8.14384714555908,8.14384714555908,,TAIUN
sku_channel,sku_channel::1008760|TAIUN,1008760,교체형,lumpy,621791.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0002093113665596459,0.0012068369688652207,2.0,10,6,,4.964796572822919,2.188978718057219e-05,0.0,0.0,1.0,1.2411991432057297,1.2411991432057297,1.2411991432057297,1.2411991432057297,,TAIUN
sku_channel,sku_channel::1008923|TAIUN,1008923,교체형,lumpy,594102.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0001386303166217958,0.0008291278713585486,2.0,10,6,,5.778161937111702,2.483802876893757e-05,0.0,0.0,1.0,1.4445404842779255,1.4445404842779255,1.4445404842779255,1.4445404842779255,,TAIUN
sku_channel,sku_channel::1008417|TAIUN,1008417,교체형,lumpy,575559.0,sba,{'alpha': 0.05},0.0433928604678334,0.2276419295411981,2.0,10,6,,5697.717614124537,0.04088771730528808,0.0,0.0,1.0,1424.4294035311343,1424.4294035311343,1424.4294035311343,1424.4294035311343,,TAIUN
sku_channel,sku_channel::2018983|TAIUN,2018983,교체형,intermittent,547918.0,sba,{'alpha': 0.3},0.3070125246806095,1.0034935929965272,0.9790613100744894,10,6,,28393.284649700585,0.19058850246452744,0.0,0.0,1.0,7098.321162425146,7098.321162425146,7098.321162425146,7098.321162425146,,TAIUN
