grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,large_threshold,p_large_week,p_large_4w,expected_large_size,bulk_share,last_large_week,customer,channel
sku_customer,sku_customer::2019670|REALTECH SEMICONDUCTOR TECHNOLOGY L,2019670,교체형,intermittent,171401.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.5607160098717728,2.070422871128098,0.6969156623039391,10,6,,0.0,0.16947478672012004,0.5242144088220604,24485.85714285714,1.0,2026-05-18,REALTECH SEMICONDUCTOR TECHNOLOGY L,
sku_customer,sku_customer::1009440|Patriot Memory Inc.,1009440,교체형,intermittent,170790.0,sba,{'alpha': 0.15},0.03138705421442051,0.1253278056937536,0.9496675001518314,10,6,,0.0,0.13174630461030187,0.4316883464609469,28465.0,1.0,2026-05-18,Patriot Memory Inc.,
sku_customer,sku_customer::1008815|GoldKey Technology Corporation,1008815,교체형,intermittent,169667.0,sba,{'alpha': 0.3},0.05860266334147453,0.38728461042737955,2.0,10,6,,0.0,0.014227465675045858,0.05570681678757472,84833.5,1.0,2026-03-16,GoldKey Technology Corporation,
sku_customer,"sku_customer::1007941|HONGKONG SHICHUANGYI CO., LIMITED",1007941,교체형,lumpy,164847.0,sba,{'alpha': 0.05},0.007755292700105738,0.06633750214739954,2.0,10,6,,0.0,0.0024547125442186337,0.009782755623115702,41211.75,1.0,2026-01-12,"HONGKONG SHICHUANGYI CO., LIMITED",
sku_customer,"sku_customer::1009494|G.Skill International Ent. Co., Ltd",1009494,교체형,intermittent,156223.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",1.7134486403215146,8.258365471703447,1.6141066826905288,10,6,,0.0,0.1188407849942195,0.3971385005045682,31244.6,1.0,2026-05-11,"G.Skill International Ent. Co., Ltd",
sku_customer,sku_customer::1009592|SF Supply Chain (Hong Kong) Limited,1009592,교체형,intermittent,154623.0,croston,{'alpha': 0.1},0.6332105914696106,3.3885114060446653,1.9327583782407272,10,6,,0.0,0.04644663962737051,0.17323895815846702,77311.5,1.0,2026-04-20,SF Supply Chain (Hong Kong) Limited,
sku_customer,sku_customer::2015843|Eternal International (HK) Ltd.,2015843,교체형,intermittent,150915.0,croston,{'alpha': 0.1},0.7124328339694014,4.565691040675406,1.8674135285526778,10,6,,0.0,0.05243751122859319,0.1938210767449371,75457.5,1.0,2026-04-27,Eternal International (HK) Ltd.,
sku_customer,sku_customer::1007583|YHG SUPPLY CHAIN (HONG KONG),1007583,교체형,intermittent,150408.0,sba,{'alpha': 0.3},0.0661285420087703,0.4264716841984673,2.0,10,6,,0.0,0.0036057341972818143,0.01434511622268786,75204.0,1.0,2026-02-02,YHG SUPPLY CHAIN (HONG KONG),
sku_customer,sku_customer::1008053|LUCKY GRADE LIMITED,1008053,교체형,intermittent,150356.0,sba,{'alpha': 0.05},0.03953254803318287,0.25455392432525364,2.0,10,6,,0.0,0.003604341203533734,0.014339604292251118,75178.0,1.0,2026-02-02,LUCKY GRADE LIMITED,
sku_customer,sku_customer::1009439|BRIGHTON SKY (HONGKONG) LIMITED,1009439,교체형,intermittent,150014.0,tsb,"{'alpha': 0.1, 'beta': 0.1}",20412.00627529185,16666.967743338344,1.37042632692432,10,6,,0.0,0.28192,0.7341165388321678,75007.0,1.0,2026-06-08,BRIGHTON SKY (HONGKONG) LIMITED,
